datetime,station,year,month,day,dayofweek,pm2.5,pm10,no,no2,nox,nh3,so2,co,ozone
2019-06-02,Chandini_Chowk,2019,6,2,6,,,,,,,,,
2019-06-03,Chandini_Chowk,2019,6,3,0,,,,,,,,,
2019-06-04,Chandini_Chowk,2019,6,4,1,,,,,,,,,
2019-06-05,Chandini_Chowk,2019,6,5,2,,,,,,,,,
2019-06-06,Chandini_Chowk,2019,6,6,3,,,,,,,,,
2019-06-07,Chandini_Chowk,2019,6,7,4,,,,,,,,,
2019-06-08,Chandini_Chowk,2019,6,8,5,,,,,,,,,
2019-06-09,Chandini_Chowk,2019,6,9,6,,,,,,,,,
2019-06-10,Chandini_Chowk,2019,6,10,0,,,,,,,,,
2019-06-11,Chandini_Chowk,2019,6,11,1,,,,,,,,,
2019-06-12,Chandini_Chowk,2019,6,12,2,,,,,,,,,
2019-06-13,Chandini_Chowk,2019,6,13,3,,,,,,,,,
2019-06-14,Chandini_Chowk,2019,6,14,4,,,,,,,,,
2019-06-15,Chandini_Chowk,2019,6,15,5,,,,,,,,,
2019-06-16,Chandini_Chowk,2019,6,16,6,,,,,,,,,
2019-06-17,Chandini_Chowk,2019,6,17,0,,,,,,,,,
2019-06-18,Chandini_Chowk,2019,6,18,1,,,,,,,,,
2019-06-19,Chandini_Chowk,2019,6,19,2,,,,,,,,,
2019-06-20,Chandini_Chowk,2019,6,20,3,,,,,,,,,
2019-06-21,Chandini_Chowk,2019,6,21,4,,,,,,,,,
2019-06-22,Chandini_Chowk,2019,6,22,5,,,,,,,,,
2019-06-23,Chandini_Chowk,2019,6,23,6,,,,,,,,,
2019-06-24,Chandini_Chowk,2019,6,24,0,,,,,,,,,
2019-06-25,Chandini_Chowk,2019,6,25,1,,,,,,,,,
2019-06-26,Chandini_Chowk,2019,6,26,2,,,,,,,,,
2019-06-27,Chandini_Chowk,2019,6,27,3,,,,,,,,,
2019-06-28,Chandini_Chowk,2019,6,28,4,,,,,,,,,
2019-06-29,Chandini_Chowk,2019,6,29,5,,,,,,,,,
2019-06-30,Chandini_Chowk,2019,6,30,6,,,,,,,,,
2019-07-01,Chandini_Chowk,2019,7,1,0,,,,,,,,,
2019-07-02,Chandini_Chowk,2019,7,2,1,,,,,,,,,
2019-07-03,Chandini_Chowk,2019,7,3,2,,,,,,,,,
2019-07-04,Chandini_Chowk,2019,7,4,3,,,,,,,,,
2019-07-05,Chandini_Chowk,2019,7,5,4,,,,,,,,,
2019-07-06,Chandini_Chowk,2019,7,6,5,,,,,,,,,
2019-07-07,Chandini_Chowk,2019,7,7,6,,,,,,,,,
2019-07-08,Chandini_Chowk,2019,7,8,0,,,,,,,,,
2019-07-09,Chandini_Chowk,2019,7,9,1,,,,,,,,,
2019-07-10,Chandini_Chowk,2019,7,10,2,,,,,,,,,
2019-07-11,Chandini_Chowk,2019,7,11,3,,,,,,,,,
2019-07-12,Chandini_Chowk,2019,7,12,4,,,,,,,,,
2019-07-13,Chandini_Chowk,2019,7,13,5,,,,,,,,,
2019-07-14,Chandini_Chowk,2019,7,14,6,,,,,,,,,
2019-07-15,Chandini_Chowk,2019,7,15,0,,,,,,,,,
2019-07-16,Chandini_Chowk,2019,7,16,1,,,,,,,,,
2019-07-17,Chandini_Chowk,2019,7,17,2,,,,,,,,,
2019-07-18,Chandini_Chowk,2019,7,18,3,,,,,,,,,
2019-07-19,Chandini_Chowk,2019,7,19,4,,,,,,,,,
2019-07-20,Chandini_Chowk,2019,7,20,5,,,,,,,,,
2019-07-21,Chandini_Chowk,2019,7,21,6,,,,,,,,,
2019-07-22,Chandini_Chowk,2019,7,22,0,,,,,,,,,
2019-07-23,Chandini_Chowk,2019,7,23,1,,,,,,,,,
2019-07-24,Chandini_Chowk,2019,7,24,2,,,,,,,,,
2019-07-25,Chandini_Chowk,2019,7,25,3,,,,,,,,,
2019-07-26,Chandini_Chowk,2019,7,26,4,,,,,,,,,
2019-07-27,Chandini_Chowk,2019,7,27,5,,,,,,,,,
2019-07-28,Chandini_Chowk,2019,7,28,6,,,,,,,,,
2019-07-29,Chandini_Chowk,2019,7,29,0,,,,,,,,,
2019-07-30,Chandini_Chowk,2019,7,30,1,,,,,,,,,
2019-07-31,Chandini_Chowk,2019,7,31,2,,,,,,,,,
2019-08-01,Chandini_Chowk,2019,8,1,3,,,,,,,,,
2019-08-02,Chandini_Chowk,2019,8,2,4,,,,,,,,,
2019-08-03,Chandini_Chowk,2019,8,3,5,,,,,,,,,
2019-08-04,Chandini_Chowk,2019,8,4,6,,,,,,,,,
